state,type,name,city,industries,categories,Address,x,y
Alabama,Federal,FCI Talladega,Talladega,Clothing; textiles,clothing,"565 EAST RENFROE ROAD, TALLADEGA, AL  35160",-86.14319206,33.42488361
Alabama,Federal,FPC Montgomery,Montgomery,Services,none,"MAXWELL AIR FORCE BASE, Montgomery, AL 36112",-86.30062589,32.3801235
Alabama,State,Draper Correctional Facility,Elmore,Vehicle maintenance; furniture; millwork,furniture,"2828 Alabama 143, Elmore, AL 36025",-86.33744845,32.57590813
Alabama,State,Fountain Correctional Facility,Atmore,Vehicle maintenance,none,"9677 Alabama 21, Atmore, AL 36502",-87.46365202,31.15658977
Alabama,State,Holman Correctional Facility,Atmore,License plates; sewing,plates,"1240 Ross Rd, Atmore, AL 36502",-87.45176792,31.13612473
Alabama,State,Julia Tutwiler Prison for Women,Wetumpka,Sewing,none,"8966 US Highway 231, Wetumpka, AL 36092",-86.19437366,32.56381639
Alabama,State,Kilby Correctional Facility,Montgomery,Printing; graphic arts; engraving,metal,"12201 Wares Ferry Rd, Montgomery, AL 36117",-86.10412745,32.38587725
Alabama,State,St. Clair Correctional Facility,Springville,Janitorial chemicals; upholstery; furniture restorage; modular office systems,furniture,"1000 St Clair Rd, Springville, AL 35146",-86.38575053,33.74306785
Alabama,State,Ventress Correctional Facility,Clayton,Seating,none,"379 Alabama 239, Clayton, AL 36016",-85.48988239,31.88516847
Arizona,Federal,FCC Tucson,Tucson,Electronics recycling,recycle,"8901 S. WILMOT ROAD, TUCSON, AZ  85756",-110.8579282,32.08901079
Arizona,Federal,FCI Phoenix,Phoenix,Electronics; fleet management; recycling collection,recycle,"37900 N 45TH AVE, PHOENIX, AZ  85086",-112.1561628,33.87225376
Arizona,Federal,FCI Safford,Safford,Clothing; textiles,clothing,"1529 WEST HIGHWAY 366, SAFFORD, AZ  85546",-109.7220823,32.72210152
Arizona,State,Arizona State Prison Complex - Douglas,Douglas,Sewing; canning,none,"6911 N Bdi Blvd, Douglas, AZ 85607",-109.595634,31.45492235
Arizona,State,Arizona State Prison Complex - Eyman,Florence ,Bakery; boxes; bags; boots; license plates,"food,plates","4374 E Butte Ave, Florence, AZ 85132",-111.3405073,33.02812624
Arizona,State,Arizona State Prison Complex  - Florence ,Florence ,Metal fabrication; farm; warehousing; recycling; fish farm; mattresses; upholstery; call center,"call-center,furniture,metal,recycle","1305 E Butte Ave, Florence, AZ 85132",-111.37215,33.03122917
Arizona,State,Arizona State Prison Complex  - Kingman ,Golden Valley,Trailer fabrication,none,"4626 W. English Dr., Golden Valley, AZ 86414",-114.1755792,35.03255272
Arizona,State,Arizona State Prison Complex  - Lewis,Buckeye,Tractor-trailer repair; truss manufacturing; tire remanufacturing; specialty glass recycling; call center,"call-center,recycle","26700 South Highway 85, Buckeye, AZ 85326",-112.6519071,33.19710401
Arizona,State,Arizona State Prison Complex  - Marana,Marana,Office furniture manufacturing,furniture,"12610 W. Silverbell Rd, Marana, AZ 85653",-111.2528071,32.41920521
Arizona,State,Arizona State Prison Complex  - Perryville,Goodyear,Print shop; sewing; call center; egg farm,"call-center,food","2105 North Citrus Road, Goodyear, AZ 85395",-112.4441223,33.47058067
Arizona,State,Arizona State Prison Complex  - Phoenix West,Phoenix,Installation,none,"3402 West Cocopah, Phoenix, AZ 58009",-112.1317539,33.43210817
Arizona,State,Arizona State Prison Complex  - Safford,Safford,Farming,none,"896 S. Cook Road, Safford, AZ 85546",-109.5624482,32.83092871
Arizona,State,Arizona State Prison Complex  - Tucson,Tucson,Sign shop; call center,call-center,"10000 South Wilmot, Tucson, AZ 85734",-110.8580123,32.07533206
Arizona,State,Arizona State Prison Complex  - Winslow,Winslow,Farming; construction,none,"2100 South Highway 87, Winslow, AZ 86047",-110.7145985,34.98505683
Arizona,State,Arizona State Prison Complex  - Yuma,San Luis,Call center; waste recycling,"call-center,recycle","7125 East Juan Sanchez Blvd, San Luis, AZ 85365",-114.7302883,32.49471362
Arkansas,Federal,FCC Forrest City,Forrest City,Office furniture,furniture,"1400 DALE BUMPERS ROAD, FORREST CITY, AR  72335",-90.80496211,34.97942714
Arkansas,State,Cummins Unit,Auburn,Garment; vinyl,clothing,"34.053182, -91.584969",-91.584969,34.053182
Arkansas,State,Grimes Unit,Newport,Coffee and tea packaging,none,"300 Corrections Drive Newport, AR 72112",-91.1908265,35.62598669
Arkansas,State,J. Aaron Hawkins Sr. Center,Wrightsville,Coreless toilet paper,none,"34.603783, -92.192643",-92.192643,34.603783
Arkansas,State,McPherson Unit,Pine Bluff,Wire harnesses,none,"302 Corrections Drive Newport, AR 72112",-91.19080752,35.62598684
Arkansas,State,Tucker Unit,Tucker,Metal fabrication; chairs; upholstery,"furniture,metal","2400 State Farm Rd, Tucker, AR 72168",-91.91558896,34.4507257
Arkansas,State,Wrightsville Unit,Wrightsville,Furniture; graphic arts,furniture,"34.601824, -92.192285",-92.192285,34.601824
California,Federal,FCC Victorville,Victorville,Electronics; fleet management,none,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA  92394",-117.3483687,34.5686141
California,Federal,FCI Dublin,Dublin,Recycling collection; services,recycle,"5701 8TH ST, DUBLIN, CA  94568",-121.9053144,37.71616742
California,Federal,FCI Lompoc,Lompoc,Services,none,"3600 GUARD ROAD, LOMPOC, CA  93436",-120.4972247,34.67826251
